model,alg,rabinpairorder,workers,buchi,ltl,errmsg,time,date,sccs,ustates,utrans,tstates,ttrans,selfloop,claimdead,claimfound,claimsuccess,cumstack,autsize,rabinpairs,ftrans,formula,hoa
bopdp.3_061,favoid,-1,16,rabinizer3,-1,OK,7.640,2018-05-14.19:10:19,2112498,2112498,5549238,6406747,6425875,0,13017,0,6406747,565,3,2,2096844,-1,-1
bopdp.3_065,favoid,-1,16,finless,-1,OK,1.850,2018-05-14.19:10:28,2318376,2352696,6734198,2711656,8049057,7,4867608,23539,2702572,3429,10,2,0,-1,-1
bopdp.3_065,favoid,-1,16,ltl3tela,-1,OK,4.480,2018-05-14.19:10:35,2086688,2103848,5560358,4129324,6487075,2,2131443,12126,4125308,2703,6,2,943099,-1,-1
bopdp.3_065,favoid,-1,16,rabinizer3,-1,OK,7.890,2018-05-14.19:10:46,3138612,3155772,8340537,7578819,9671842,3,1917348,11489,7574972,2867,4,3,2103846,-1,-1
bopdp.3_066,favoid,-1,16,ltl3dra,10,OK,6.460,2018-05-14.19:10:55,1679696,1679843,4298742,5436957,5437256,0,0,1,5436957,309,5,2,1679695,-1,-1
bopdp.3_066,favoid,-1,16,rabinizer3,10,OK,0.090,2018-05-14.19:10:58,1,227,433,377,695,0,0,1,377,361,5,2,2,-1,-1
bopdp.3_067,favoid,-1,16,ltl3tela,-1,OK,5.240,2018-05-14.19:11:08,2064746,2081906,5494820,4563004,6673608,3,1929524,11418,4559250,2920,3,2,1012249,-1,-1
bopdp.3_068,favoid,-1,16,ltl3tela,10,OK,1.250,2018-05-14.19:11:14,374260,374548,887566,415886,898162,1,452293,0,415886,836,3,2,53573,-1,-1
bopdp.3_068,favoid,-1,16,rabinizer3,10,OK,6.320,2018-05-14.19:11:23,1719466,1720001,4397191,4971846,4972482,0,0,1,4971846,702,8,4,1719465,-1,-1
bopdp.3_069,favoid,-1,16,ltl3tela,-1,OK,5.150,2018-05-14.19:11:31,2487754,2504914,6725990,5131986,7645232,4,2320553,11798,5128114,2991,6,2,1232690,-1,-1
bopdp.3_069,favoid,-1,16,rabinizer3,-1,OK,22.340,2018-05-14.19:11:57,12421180,12534480,34017975,24990558,37016263,9,11014967,74114,24965703,2982,41,9,6532251,-1,-1
bopdp.3_071,favoid,-1,16,ltl3dra,-1,OK,10.340,2018-05-14.19:12:10,3358221,3358221,8801412,9332506,9653345,0,171903,0,9332506,157,11,3,3245017,-1,-1
bopdp.3_071,favoid,-1,16,rabinizer3,-1,OK,21.950,2018-05-14.19:12:35,7383740,7383740,19541104,21751798,22162819,0,241784,0,21751798,155,8,4,7296167,-1,-1
bopdp.3_073,favoid,-1,16,rabinizer3,-1,OK,7.870,2018-05-14.19:12:46,2241680,2241680,9692278,6468772,7313471,0,695376,0,6468772,432,6,2,1960378,-1,-1
bopdp.3_074,favoid,-1,16,rabinizer3,10,OK,1.410,2018-05-14.19:12:50,1023794,1041340,2748153,1242891,3366000,2,1927974,12286,1238357,3095,5,2,2,-1,-1
bopdp.3_075,favoid,-1,16,ltl3tela,-1,OK,1.380,2018-05-14.19:12:54,179874,188498,349022,302745,425313,0,92442,8448,298323,1896,9,2,94248,-1,-1
bopdp.3_076,favoid,-1,16,ltl3dra,10,OK,0.080,2018-05-14.19:12:57,21,272,534,449,808,0,0,1,449,387,10,3,44,-1,-1
